Id,Name,Domain,Labels,Instances,Attributes,Inputs,Labelsets,Single,Max freq,Card,Dens,Mean IR,Scumble,TCS,AttStart,AttEnd,LabelStart,LabelEnd
1,birds,audio,19,645,279,260,133,73,294,1014,0.0534,5407,33,133955,1,260,261,279
2,cal500,music,174,502,242,68,502,502,1,260438,0.1497,205778,0.3372,155972,1,68,69,242
3,corel16k010,imagens,144,13618,644,500,4692,2999,350,28153,0.0196,329985,0.2786,19638,1,500,501,644
4,corel5k,imagens,374,5000,873,499,3175,2523,55,3522,0.0094,1895676,0.3941,201999,1,499,500,873
5,emotions,msic,6,593,78,72,27,4,81,18685,0.3114,14781,11,93643,1,72,73,78
6,eukaryotePseAac,biology,22,7766,462,440,112,37,1580,11456,0.0521,450117,0.0174,138963,1,440,441,462
7,eurlexDc,text,412,19348,5412,5000,1615,717,1633,12923,0.0031,2689297,48,219253,1,5000,5001,5412
8,flags,images,7,194,26,19,54,24,27,33918,0.4845,22547,0.0606,88793,1,19,20,26
9,gPositiveGo,biology,4,519,916,912,7,2,206,10077,0.2519,38605,1,101478,1,912,913,916
10,langlog,text,75,1460,1079,1004,304,189,207,11801,0.0157,392669,51,169463,1,1004,1005,1079
11,mediamill,video,101,43907,221,120,6555,4104,2363,43756,0.0433,2564047,0.3547,181906,1,120,121,221
12,medical,text,45,978,1494,1449,94,33,155,12454,0.0277,895014,0.0471,156286,1,1449,1450,1494
13,nuswideVlad,images,81,269648,210,129,18430,11378,60301,18685,0.0231,951187,171,19076,1,129,130,210
14,plantGo,biology,12,978,3103,3091,32,8,277,10787,0.0899,66904,0.0058,139869,1,3091,3092,3103
15,rcv1sub1,text,101,6000,47337,47236,1028,657,246,28797,0.0285,544923,0.2237,223134,1,47236,47237,47337
16,scene,images,6,2407,300,294,15,3,405,1074,179,12538,0.0003,101834,1,294,295,300
17,virusGo,biology,6,207,755,749,17,6,56,12174,0.2029,40412,0.0079,112437,1,749,750,755
18,yahoo-society,text,27,14512,31829,31802,1054,624,4092,16704,0.0619,3020678,0.0957,206235,1,31802,31803,31829
19,yeast,biology,14,2417,117,103,198,77,237,42371,0.3026,71968,0.1044,125621,1,103,104,117
20,yelp,text,5,10806,676,671,32,0,2120,16383,0.3277,28756,0.0332,115839,1,671,672,676
